2026-07-10 07:00 | controle pairs: OK 9/9 | positions 8 | equity 99499.22 (-500.78) | net -35.0%/an
2026-07-10 08:00 | controle pairs: OK 9/9 | positions 8 | equity 99510.74 (-489.26) | net -33.9%/an
2026-07-10 09:00 | controle pairs: OK 9/9 | positions 8 | equity 99538.16 (-461.84) | net -31.8%/an
2026-07-10 10:00 | controle pairs: OK 9/9 | positions 8 | equity 99532.60 (-467.40) | net -31.9%/an
2026-07-10 11:00 | controle pairs: OK 9/9 | positions 8 | equity 99518.52 (-481.48) | net -32.6%/an
2026-07-10 12:00 | controle pairs: OK 9/9 | positions 8 | equity 99509.37 (-490.63) | net -33.0%/an
2026-07-10 13:00 | controle pairs: OK 9/9 | positions 8 | equity 99522.69 (-477.31) | net -31.9%/an
2026-07-10 14:00 | controle pairs: OK 9/9 | positions 8 | equity 99554.29 (-445.71) | net -29.5%/an
2026-07-10 15:00 | controle pairs: OK 9/9 | positions 8 | equity 99506.61 (-493.39) | net -32.4%/an
2026-07-10 16:00 | controle pairs: OK 9/9 | positions 8 | equity 99511.53 (-488.47) | net -31.9%/an
2026-07-10 17:00 | controle pairs: OK 9/9 | positions 8 | equity 99532.09 (-467.91) | net -30.3%/an
2026-07-10 18:00 | controle pairs: OK 9/9 | positions 8 | equity 99525.19 (-474.81) | net -30.5%/an
2026-07-10 19:00 | controle pairs: OK 9/9 | positions 8 | equity 99510.57 (-489.43) | net -31.2%/an
2026-07-10 20:00 | controle pairs: OK 9/9 | positions 8 | equity 99518.15 (-481.85) | net -30.5%/an
2026-07-10 21:00 | controle pairs: OK 9/9 | positions 8 | equity 99538.99 (-461.01) | net -29.0%/an
2026-07-10 22:00 | controle pairs: OK 9/9 | positions 8 | equity 99528.92 (-471.08) | net -29.4%/an
2026-07-10 23:00 | controle pairs: OK 9/9 | positions 8 | equity 99532.45 (-467.55) | net -29.0%/an
2026-07-11 00:00 | controle pairs: OK 9/9 | positions 8 | equity 99514.24 (-485.76) | net -29.9%/an
2026-07-11 01:00 | controle pairs: OK 9/9 | positions 8 | equity 99544.32 (-455.68) | net -27.9%/an
2026-07-11 02:00 | controle pairs: OK 9/9 | positions 8 | equity 99544.34 (-455.66) | net -27.7%/an
